objid,sample,asset_id,gz2_class,category,category_encoded
5.88e+17,original,5,Er,Round_elliptical,1
5.88e+17,original,13,Ec,Cigar_elliptical,0
5.88e+17,original,16,Er,Round_elliptical,1
5.88e+17,original,17,Er,Round_elliptical,1
5.88e+17,original,22,Er,Round_elliptical,1
5.88e+17,original,32,Er,Round_elliptical,1
5.88e+17,original,33,Er,Round_elliptical,1
5.88e+17,original,44,Sc?t,Tight_spiral,2
5.88e+17,original,45,Sc?t,Tight_spiral,2
5.88e+17,original,46,Sc?t,Tight_spiral,2
5.88e+17,original,47,Er,Round_elliptical,1
5.88e+17,original,52,Sc?t(i),Tight_spiral,2
5.88e+17,original,53,Sc?t(i),Tight_spiral,2
5.88e+17,original,54,Sc?t(i),Tight_spiral,2
5.88e+17,original,55,Ec,Cigar_elliptical,0
5.88e+17,original,56,Ec,Cigar_elliptical,0
5.88e+17,original,57,Ec,Cigar_elliptical,0
5.88e+17,original,60,Sc?t,Tight_spiral,2
5.88e+17,original,65,Er,Round_elliptical,1
5.88e+17,original,66,Er,Round_elliptical,1
5.88e+17,original,67,Er,Round_elliptical,1
5.88e+17,original,73,Er,Round_elliptical,1
5.88e+17,original,77,Sc?t,Tight_spiral,2
5.88e+17,original,82,Er,Round_elliptical,1
5.88e+17,original,98,Er,Round_elliptical,1
5.88e+17,original,99,Er,Round_elliptical,1
5.88e+17,original,100,Er,Round_elliptical,1
5.88e+17,original,105,Er,Round_elliptical,1
5.88e+17,original,110,Er,Round_elliptical,1
5.88e+17,original,111,Er,Round_elliptical,1
5.88e+17,original,112,Er,Round_elliptical,1
5.88e+17,original,113,Er,Round_elliptical,1
5.88e+17,original,117,Er,Round_elliptical,1
5.88e+17,original,118,Er,Round_elliptical,1
5.88e+17,original,119,Er,Round_elliptical,1
5.88e+17,original,125,Ec,Cigar_elliptical,0
5.88e+17,original,126,Ec,Cigar_elliptical,0
5.88e+17,original,127,Er,Round_elliptical,1
5.88e+17,original,133,Sc?t,Tight_spiral,2
5.88e+17,original,134,Sc?t,Tight_spiral,2
5.88e+17,original,135,Sc?t,Tight_spiral,2
5.88e+17,original,136,Sc?t,Tight_spiral,2
5.88e+17,original,137,Sc?t,Tight_spiral,2
5.88e+17,original,138,Sc?t,Tight_spiral,2
5.88e+17,original,139,Sc?t,Tight_spiral,2
5.88e+17,original,143,Er,Round_elliptical,1
5.88e+17,original,148,Er,Round_elliptical,1
5.88e+17,original,149,Er,Round_elliptical,1
5.88e+17,original,154,Er,Round_elliptical,1
5.88e+17,original,157,Sc?t,Tight_spiral,2
5.88e+17,original,158,Sc?t,Tight_spiral,2
5.88e+17,original,162,Sc?t,Tight_spiral,2
5.88e+17,original,164,Sc?t(r),Tight_spiral,2
5.88e+17,original,172,Er,Round_elliptical,1
5.88e+17,original,175,Er,Round_elliptical,1
5.88e+17,original,176,Er,Round_elliptical,1
5.88e+17,original,184,Er,Round_elliptical,1
5.88e+17,original,185,Er,Round_elliptical,1
5.88e+17,original,186,Ec,Cigar_elliptical,0
5.88e+17,original,187,Ec,Cigar_elliptical,0
5.88e+17,original,189,Er,Round_elliptical,1
5.88e+17,original,193,Ec,Cigar_elliptical,0
5.88e+17,original,195,Er,Round_elliptical,1
5.88e+17,original,196,Ec,Cigar_elliptical,0
5.88e+17,original,197,Ec,Cigar_elliptical,0
5.88e+17,original,198,Ec,Cigar_elliptical,0
5.88e+17,original,209,Er,Round_elliptical,1
5.88e+17,original,216,Sc?t,Tight_spiral,2
5.88e+17,original,217,Sc?t,Tight_spiral,2
5.88e+17,original,218,Sc?t,Tight_spiral,2
5.88e+17,original,219,Sc?t,Tight_spiral,2
5.88e+17,original,228,Sc?t,Tight_spiral,2
5.88e+17,original,229,Sc?t,Tight_spiral,2
5.88e+17,original,236,Ec,Cigar_elliptical,0
5.88e+17,original,237,Er,Round_elliptical,1
5.88e+17,original,245,Er(o),Round_elliptical,1
5.88e+17,original,247,Ec,Cigar_elliptical,0
5.88e+17,original,249,Ec,Cigar_elliptical,0
5.88e+17,original,251,Er,Round_elliptical,1
5.88e+17,original,255,Er,Round_elliptical,1
5.88e+17,original,256,Er,Round_elliptical,1
5.88e+17,original,259,Er,Round_elliptical,1
5.88e+17,original,268,Er,Round_elliptical,1
5.88e+17,original,269,Er,Round_elliptical,1
5.88e+17,original,309,Sc?t,Tight_spiral,2
5.88e+17,original,310,Er,Round_elliptical,1
5.88e+17,original,311,Er,Round_elliptical,1
5.88e+17,original,312,Er,Round_elliptical,1
5.88e+17,original,313,Er,Round_elliptical,1
5.88e+17,original,314,Er,Round_elliptical,1
5.88e+17,original,315,Er,Round_elliptical,1
5.88e+17,original,316,Er,Round_elliptical,1
5.88e+17,original,317,Er,Round_elliptical,1
5.88e+17,original,333,Sc?t,Tight_spiral,2
5.88e+17,original,339,Er,Round_elliptical,1
5.88e+17,original,340,Er,Round_elliptical,1
5.88e+17,original,349,Er,Round_elliptical,1
5.88e+17,original,350,Er,Round_elliptical,1
5.88e+17,original,351,Sc?t,Tight_spiral,2
5.88e+17,original,352,Er,Round_elliptical,1
5.88e+17,original,354,Er,Round_elliptical,1
5.88e+17,original,368,Er,Round_elliptical,1
5.88e+17,original,370,Er,Round_elliptical,1
5.88e+17,original,383,Er,Round_elliptical,1
5.88e+17,original,384,Er,Round_elliptical,1
5.88e+17,original,385,Er,Round_elliptical,1
5.88e+17,original,386,Er,Round_elliptical,1
5.88e+17,original,393,Sc?t,Tight_spiral,2
5.88e+17,original,394,Sc?t,Tight_spiral,2
5.88e+17,original,395,Sc?t,Tight_spiral,2
5.88e+17,original,396,Sc?t,Tight_spiral,2
5.88e+17,original,400,Ec,Cigar_elliptical,0
5.88e+17,original,401,Ec,Cigar_elliptical,0
5.88e+17,original,402,Er,Round_elliptical,1
5.88e+17,original,416,Er,Round_elliptical,1
5.88e+17,original,417,Er,Round_elliptical,1
5.88e+17,original,418,Er,Round_elliptical,1
5.88e+17,original,419,Er,Round_elliptical,1
5.88e+17,original,428,Er,Round_elliptical,1
5.88e+17,original,429,Sc?t,Tight_spiral,2
5.88e+17,original,430,Sc?t,Tight_spiral,2
5.88e+17,original,435,Er,Round_elliptical,1
5.88e+17,original,438,Er,Round_elliptical,1
5.88e+17,original,444,Er,Round_elliptical,1
5.88e+17,original,445,Er,Round_elliptical,1
